Rank,Player,Team,Salary_USD,Season
1,Stephen Curry,Golden State Warriors,55761216,2024-25
2,Joel Embiid,Philadelphia 76ers,51415938,2024-25
3,Nikola Jokic,Denver Nuggets,51415938,2024-25
4,Kevin Durant,Phoenix Suns,51179021,2024-25
5,Bradley Beal,Phoenix Suns,50203930,2024-25
6,Kawhi Leonard,LA Clippers,49350000,2024-25
7,Devin Booker,Phoenix Suns,49205800,2024-25
8,Paul George,Philadelphia 76ers,49205800,2024-25
9,Karl-Anthony Towns,New York Knicks,49205800,2024-25
10,Jaylen Brown,Boston Celtics,49205800,2024-25
11,Jimmy Butler III,Golden State Warriors,48798677,2024-25
12,Giannis Antetokounmpo,Milwaukee Bucks,48787676,2024-25
13,Damian Lillard,Milwaukee Bucks,48787676,2024-25
14,LeBron James,Los Angeles Lakers,48728845,2024-25
15,Zach LaVine,Sacramento Kings,44531940,2024-25
16,Rudy Gobert,Minnesota Timberwolves,43827587,2024-25
17,Anthony Davis,Dallas Mavericks,43219440,2024-25
18,Luka Doncic,Los Angeles Lakers,43031940,2024-25
19,Trae Young,Atlanta Hawks,43031940,2024-25
20,Fred VanVleet,Houston Rockets,42846615,2024-25
21,Lauri Markkanen,Utah Jazz,42176400,2024-25
22,Anthony Edwards,Minnesota Timberwolves,42176400,2024-25
23,Tyrese Haliburton,Indiana Pacers,42176000,2024-25
24,Pascal Siakam,Indiana Pacers,42176000,2024-25
25,Kyrie Irving,Dallas Mavericks,41000000,2024-25
26,Domantas Sabonis,Sacramento Kings,40500000,2024-25
27,Ja Morant,Memphis Grizzlies,36725670,2024-25
28,Darius Garland,Cleveland Cavaliers,36725670,2024-25
29,Zion Williamson,New Orleans Pelicans,36725670,2024-25
30,OG Anunoby,New York Knicks,36637931,2024-25
31,Brandon Ingram,New Orleans Pelicans,36016200,2024-25
32,Jamal Murray,Denver Nuggets,36016200,2024-25
33,Shai Gilgeous-Alexander,Oklahoma City Thunder,35859950,2024-25
34,Michael Porter Jr.,Denver Nuggets,35859950,2024-25
35,Donovan Mitchell,Cleveland Cavaliers,35410310,2024-25
36,LaMelo Ball,Charlotte Hornets,35147000,2024-25
37,Tyrese Maxey,Philadelphia 76ers,35147000,2024-25
38,De'Aaron Fox,San Antonio Spurs,34848340,2024-25
39,Bam Adebayo,Miami Heat,34848340,2024-25
40,Jayson Tatum,Boston Celtics,34848340,2024-25
41,Desmond Bane,Memphis Grizzlies,34005250,2024-25
42,Deandre Ayton,Portland Trail Blazers,34005126,2024-25
43,James Harden,LA Clippers,33653846,2024-25
44,CJ McCollum,New Orleans Pelicans,33333333,2024-25
45,Julius Randle,Minnesota Timberwolves,33073920,2024-25
46,Immanuel Quickley,Toronto Raptors,32500000,2024-25
47,Khris Middleton,Washington Wizards,31666676,2024-25
48,Isaiah Hartenstein,Oklahoma City Thunder,30000000,2024-25
49,Jrue Holiday,Boston Celtics,30000000,2024-25
50,Jerami Grant,Portland Trail Blazers,29793104,2024-25
51,Jordan Poole,Washington Wizards,29651786,2024-25
52,Dejounte Murray,New Orleans Pelicans,29535801,2024-25
53,Devin Vassell,San Antonio Spurs,29347826,2024-25
54,Kristaps Porzingis,Boston Celtics,29268293,2024-25
55,Tyler Herro,Miami Heat,29000000,2024-25
56,Nic Claxton,Brooklyn Nets,27556817,2024-25
57,Miles Bridges,Charlotte Hornets,27173913,2024-25
58,John Collins,Utah Jazz,26580000,2024-25
59,Andrew Wiggins,Miami Heat,26276786,2024-25
60,Anfernee Simons,Portland Trail Blazers,25892857,2024-25
61,RJ Barrett,Toronto Raptors,25794643,2024-25
62,Tobias Harris,Detroit Pistons,25365854,2024-25
63,Jaren Jackson Jr.,Memphis Grizzlies,25257798,2024-25
64,Jonathan Isaac,Orlando Magic,25000000,2024-25
65,Jalen Brunson,New York Knicks,24960001,2024-25
66,Terry Rozier,Miami Heat,24924126,2024-25
67,Draymond Green,Golden State Warriors,24107143,2024-25
68,DeMar DeRozan,Sacramento Kings,23400000,2024-25
69,Mikal Bridges,New York Knicks,23300000,2024-25
70,Jaden McDaniels,Minnesota Timberwolves,23017242,2024-25
71,Brook Lopez,Milwaukee Bucks,23000000,2024-25
72,Bruce Brown,New Orleans Pelicans,23000000,2024-25
73,Aaron Gordon,Denver Nuggets,22841455,2024-25
74,Kentavious Caldwell-Pope,Orlando Magic,22757000,2024-25
75,Malcolm Brogdon,Washington Wizards,22500000,2024-25
76,Cameron Johnson,Brooklyn Nets,22500000,2024-25
77,Kyle Kuzma,Milwaukee Bucks,22410605,2024-25
78,Clint Capela,Atlanta Hawks,22265280,2024-25
79,Dillon Brooks,Houston Rockets,22255493,2024-25
80,De'Andre Hunter,Cleveland Cavaliers,21696429,2024-25
81,Lonzo Ball,Chicago Bulls,21395348,2024-25
82,Marcus Smart,Washington Wizards,20210285,2024-25
83,Derrick White,Boston Celtics,20017429,2024-25
84,Jarrett Allen,Cleveland Cavaliers,20000000,2024-25
85,Nikola Vucevic,Chicago Bulls,20000000,2024-25
86,Myles Turner,Indiana Pacers,19928500,2024-25
87,Jakob Poeltl,Toronto Raptors,19500000,2024-25
88,Duncan Robinson,Miami Heat,19406000,2024-25
89,Norman Powell,LA Clippers,19241379,2024-25
90,Bojan Bogdanovic,Brooklyn Nets,19032850,2024-25
91,Keldon Johnson,San Antonio Spurs,19000000,2024-25
92,D'Angelo Russell,Brooklyn Nets,18692307,2024-25
93,Patrick Williams,Chicago Bulls,18500000,2024-25
94,Collin Sexton,Utah Jazz,18350000,2024-25
95,Josh Hart,New York Knicks,18144000,2024-25
96,Jusuf Nurkic,Charlotte Hornets,18125000,2024-25
97,Harrison Barnes,San Antonio Spurs,18000000,2024-25
98,Malik Monk,Sacramento Kings,17405202,2024-25
99,Bogdan Bogdanovic,LA Clippers,17260000,2024-25
100,Rui Hachimura,Los Angeles Lakers,17000000,2024-25
101,Kevin Huerter,Chicago Bulls,16830357,2024-25
102,Zach Collins,Chicago Bulls,16741200,2024-25
103,Caris LeVert,Atlanta Hawks,16615384,2024-25
