Player,Pos,Team,Start,End,Yrs,Value,AAV,2-Year_Cash,3-Year_Cash
Deron Williams,PG,BKN,2012,2016,5,98772325,19754465,35643925,55398390
Derrick Rose,PG,CHI,2012,2016,5,94314380,18862876,34035188,52898064
Russell Westbrook,PG,OKC,2012,2016,5,78595310,15719062,28362656,44081718
Carmelo Anthony,PF,NYK,2012,2013,3,64166861,21388954,40833457,64166861
Brook Lopez,C,BKN,2012,2014,4,60825938,15206485,28362656,44081719
Kevin Love,C,MIN,2012,2014,4,60825938,15206485,28362656,44081719
Roy Hibbert,C,IND,2012,2015,4,58443748,14610937,27952594,42851532
Eric Gordon,SG,NOH,2012,2015,4,58365563,14591391,27952594,42851532
Nicolas Batum,SF,POR,2012,2015,4,46121500,11530375,22120250,34775307
JaVale McGee,C,DEN,2012,2015,4,44000000,11000000,20750000,32000000
Danilo Gallinari,PF,DEN,2012,2015,4,42000000,10500000,19585925,30440775
Gerald Wallace,SF,BKN,2012,2015,4,40000030,10000008,19788320,29894175
George Hill,PG,IND,2012,2016,5,40000000,8000000,16000000,24000000
Ersan Ilyasova,PF,MIL,2012,2016,5,40000000,8000000,15800000,23700000
Kevin Garnett,PF,BOS,2012,2014,3,36000000,12000000,24000000,36000000
Jeff Green,PF,BOS,2012,2015,4,35200000,8800000,16800000,26000000
Ryan Anderson,PF,NOH,2012,2015,4,34000000,8500000,17008500,25500000
Tim Duncan,PF,SAS,2012,2014,3,30361446,10120482,20000000,30361446
Jason Thompson,PF,SAC,2012,2016,5,30187500,6037500,10893750,16931250
Goran Dragic,PG,PHX,2012,2015,4,30000000,7500000,15000000,22500000
Steve Nash,PG,PHX,2012,2014,3,27901500,9300500,18200500,27901500
Jameer Nelson,PG,ORL,2012,2013,3,25200000,8400000,17200000,25200000
Omer Asik,C,HOU,2012,2014,3,25123938,8374646,10225000,25123938
Jeremy Lin,PG,HOU,2012,2014,3,25123938,8374646,10225000,25123938
Kris Humphries,PF,BKN,2012,2013,2,24000000,12000000,24000000,24000000
Andray Blatche,C,WAS,2012,2014,3,23384762,7794921,14913423,23384762
Andray Blatche,C,WAS,2012,2012,3,23384762,7794921,14913423,23384762
Anthony Davis,C,NOH,2012,2015,4,23198010,5799503,10520040,16127280
Courtney Lee,SG,HOU,2012,2015,4,21350000,5337500,10225000,15675000
Jamal Crawford,SG,LAC,2012,2015,4,21350000,5337500,10225000,15675000
Brendan Haywood,C,DAL,2012,2014,3,21070500,7023500,13322500,21070500
Josh Childress,SF,PHX,2012,2014,3,21000000,7000000,13682500,21000000
