Player,Pos,Team,Age_At_Signing,Start,End,Yrs,Value,AAV,2-Year_Cash,3-Year_Cash
Sue Bird,G,SEA,35,2016,2020,5,673000,134600,225000,340500
Candace Parker,F,LA,29,2016,2020,5,577500,115500,225000,340500
Courtney Vandersloot,G,CHI,25,2015,2019,5,557500,111500,216000,327000
Brittney Griner,C,PHX,26,2017,2020,4,554000,138500,224000,339000
Diana Taurasi,G,PHX,34,2017,2020,4,466000,116500,229000,346500
Chiney Ogwumike,F,CON,24,2017,2020,4,466000,116500,229000,346500
Tiffany Hayes,G,ATL,28,2018,2021,4,465560,116390,228260,345780
Elizabeth Williams,C,ATL,24,2018,2021,4,464000,116000,228000,345000
Skylar Diggins-Smith,G,DAL,25,2016,2020,4,458000,114500,225000,340500
Nneka Ogwumike,F,LA,26,2017,2020,4,456000,114000,224000,339000
Jantel Lavender,F,LA,28,2017,2020,4,456000,114000,224000,339000
Tayler Hill,G,WAS,26,2017,2020,4,456000,114000,224000,339000
Tina Charles,C,NY,29,2018,2020,3,448000,149333,233000,408000
Leilani Mitchell,G,PHX,31,2017,2020,4,383131,95783,187720,284477
Jewell Loyd,G,SEA,25,2019,2021,3,358500,119500,237000,358500
Briann January,G,PHX,31,2019,2021,3,358500,119500,237000,358500
Candice Dupree,F,IND,33,2018,2020,3,352500,117500,233000,352500
Odyssey Sims,G,MIN,26,2019,2021,3,351000,117000,232000,351000
Dearica Hamby,F,LV,25,2019,2022,3,351000,117000,232000,384300
Sylvia Fowles,C,MIN,33,2019,2021,3,346881,115627,228987,346881
Elena Delle Donne,F,WAS,27,2017,2019,3,345000,115000,228000,345000
Natasha Howard,F,SEA,26,2018,2020,3,345000,115000,228000,345000
Alyssa Thomas,F,CON,25,2018,2020,3,345000,115000,228000,345000
Jessica Breland,F,ATL,29,2018,2020,3,345000,115000,,
Emma Meesseman,F,WAS,22,2016,2019,4,342500,85625,225000,225000
Kristi Toliver,G,WAS,29,2017,2019,3,339000,113000,224000,339000
